epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1039.55,1.39182,1.80545,1.66236,0.60492,0.54099,0.54545,0.41267,1.48065,1.89138,1.72297,0.0007228,0.0007228,0.0007228
44,1063.17,1.39098,1.78662,1.6439,0.59813,0.51877,0.54426,0.41472,1.48637,1.88318,1.70107,0.0007162,0.0007162,0.0007162
45,1086.46,1.39613,1.78382,1.66189,0.61833,0.51488,0.5401,0.41143,1.49745,1.88197,1.72037,0.0007096,0.0007096,0.0007096
46,1109.77,1.37519,1.76572,1.63644,0.55931,0.53033,0.53975,0.40979,1.50719,1.92839,1.72079,0.000703,0.000703,0.000703
47,1132.99,1.3717,1.76286,1.63456,0.62856,0.53196,0.56225,0.42874,1.47381,1.86011,1.70105,0.0006964,0.0006964,0.0006964
48,1155.99,1.38988,1.76908,1.63602,0.55666,0.55728,0.55315,0.42546,1.47263,1.83529,1.6851,0.0006898,0.0006898,0.0006898
49,1179.04,1.37697,1.75794,1.63545,0.64374,0.51635,0.55336,0.42924,1.45075,1.8762,1.68265,0.0006832,0.0006832,0.0006832
50,1202.28,1.35836,1.73368,1.61586,0.65176,0.54084,0.55983,0.43037,1.45459,1.84039,1.67748,0.0006766,0.0006766,0.0006766
51,1225.45,1.3492,1.7073,1.62104,0.62359,0.5362,0.54861,0.41931,1.48505,1.85548,1.70599,0.00067,0.00067,0.00067
52,1248.22,1.34383,1.69911,1.61064,0.6319,0.53241,0.55522,0.42942,1.43552,1.83109,1.66441,0.0006634,0.0006634,0.0006634
53,1271.42,1.34179,1.70196,1.60556,0.5764,0.54241,0.55525,0.42904,1.43825,1.8683,1.67364,0.0006568,0.0006568,0.0006568
54,1294.48,1.33393,1.66402,1.59234,0.63728,0.53582,0.56173,0.43473,1.43459,1.78123,1.65908,0.0006502,0.0006502,0.0006502
55,1317.83,1.33617,1.70021,1.59974,0.60489,0.56303,0.56751,0.43695,1.45125,1.82322,1.66272,0.0006436,0.0006436,0.0006436
56,1341.06,1.32733,1.66464,1.5926,0.71972,0.53602,0.56129,0.43298,1.43247,1.79308,1.65502,0.000637,0.000637,0.000637
57,1364.43,1.34165,1.67942,1.6028,0.61808,0.55674,0.56856,0.438,1.46897,1.77969,1.69,0.0006304,0.0006304,0.0006304
58,1387.91,1.31863,1.63437,1.58102,0.59841,0.56004,0.57614,0.44558,1.45526,1.78647,1.66884,0.0006238,0.0006238,0.0006238
59,1411.16,1.31882,1.6296,1.583,0.58029,0.55773,0.57113,0.44424,1.43082,1.74458,1.65413,0.0006172,0.0006172,0.0006172
60,1434.19,1.31064,1.61854,1.57221,0.61578,0.56352,0.57388,0.44559,1.43581,1.74065,1.6433,0.0006106,0.0006106,0.0006106
61,1457.48,1.30148,1.61922,1.57012,0.56099,0.55747,0.56021,0.4397,1.45115,1.79929,1.66083,0.000604,0.000604,0.000604
62,1480.58,1.31112,1.62853,1.57566,0.60774,0.56941,0.57169,0.44164,1.43979,1.75352,1.65887,0.0005974,0.0005974,0.0005974
63,1503.88,1.29493,1.59643,1.56821,0.63731,0.56584,0.5848,0.45211,1.44372,1.71187,1.65802,0.0005908,0.0005908,0.0005908
64,1527.21,1.28412,1.58435,1.55626,0.59291,0.56763,0.57829,0.4496,1.42292,1.74148,1.65012,0.0005842,0.0005842,0.0005842
65,1550.19,1.28909,1.58518,1.55383,0.64731,0.53894,0.57497,0.44383,1.4286,1.76399,1.65023,0.0005776,0.0005776,0.0005776
66,1573.15,1.26902,1.5673,1.54179,0.6065,0.55029,0.57682,0.4466,1.43036,1.75228,1.64781,0.000571,0.000571,0.000571
67,1595.98,1.27953,1.56496,1.55184,0.65572,0.55755,0.58059,0.45259,1.43011,1.72596,1.63678,0.0005644,0.0005644,0.0005644
68,1619.22,1.25985,1.54819,1.53398,0.6042,0.56852,0.57259,0.44398,1.4198,1.74264,1.64185,0.0005578,0.0005578,0.0005578
69,1642.72,1.27046,1.54732,1.54334,0.60177,0.57336,0.58425,0.45573,1.41834,1.74618,1.63234,0.0005512,0.0005512,0.0005512
