epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,952.047,1.31759,1.68054,1.67531,0.61798,0.54321,0.57063,0.43686,1.45738,1.80606,1.78539,0.0007228,0.0007228,0.0007228
44,974.277,1.3285,1.67959,1.66519,0.58243,0.51647,0.54759,0.42848,1.45678,1.93606,1.78382,0.0007162,0.0007162,0.0007162
45,996.377,1.32486,1.69126,1.66742,0.57719,0.51311,0.55082,0.42592,1.44639,1.85092,1.78948,0.0007096,0.0007096,0.0007096
46,1017.97,1.30337,1.66126,1.65377,0.57937,0.54613,0.55698,0.42095,1.49229,1.89608,1.8213,0.000703,0.000703,0.000703
47,1039.68,1.29958,1.65083,1.64631,0.59694,0.54415,0.56513,0.44033,1.4339,1.82581,1.77064,0.0006964,0.0006964,0.0006964
48,1061.89,1.31474,1.64356,1.64802,0.59877,0.54741,0.57233,0.44711,1.42858,1.75864,1.76252,0.0006898,0.0006898,0.0006898
49,1084.22,1.29778,1.63223,1.64262,0.57265,0.55255,0.55217,0.42758,1.43944,1.85875,1.76956,0.0006832,0.0006832,0.0006832
50,1106.03,1.28545,1.61837,1.62827,0.70018,0.54665,0.57605,0.44574,1.44075,1.76403,1.75894,0.0006766,0.0006766,0.0006766
51,1127.8,1.26892,1.58492,1.6264,0.57653,0.58697,0.58826,0.45146,1.40642,1.7236,1.7236,0.00067,0.00067,0.00067
52,1150.09,1.25098,1.54801,1.603,0.52534,0.57157,0.56592,0.44164,1.42403,1.86018,1.75635,0.0006634,0.0006634,0.0006634
53,1171.59,1.27667,1.58018,1.61752,0.59074,0.56638,0.58376,0.45628,1.41865,1.76633,1.73742,0.0006568,0.0006568,0.0006568
54,1193.43,1.25635,1.52603,1.60517,0.61382,0.57556,0.58371,0.4492,1.40605,1.71971,1.73426,0.0006502,0.0006502,0.0006502
55,1215.41,1.25829,1.57577,1.61617,0.61038,0.56753,0.59028,0.46115,1.40991,1.71726,1.73552,0.0006436,0.0006436,0.0006436
56,1237.66,1.22172,1.49759,1.57636,0.59197,0.5937,0.59473,0.46307,1.38182,1.66564,1.70757,0.000637,0.000637,0.000637
57,1259.68,1.24631,1.51736,1.58956,0.62871,0.56762,0.59768,0.4632,1.41569,1.71311,1.75605,0.0006304,0.0006304,0.0006304
58,1281.74,1.23501,1.47139,1.5774,0.61802,0.57857,0.59974,0.46392,1.40611,1.66644,1.74177,0.0006238,0.0006238,0.0006238
59,1304.05,1.21568,1.47097,1.56618,0.61959,0.59881,0.60302,0.47297,1.36706,1.66573,1.70625,0.0006172,0.0006172,0.0006172
60,1326,1.2088,1.4527,1.55679,0.64422,0.56556,0.59604,0.45929,1.40505,1.69449,1.73983,0.0006106,0.0006106,0.0006106
61,1348.08,1.20554,1.45743,1.55634,0.62285,0.57955,0.59692,0.46053,1.40219,1.66377,1.72423,0.000604,0.000604,0.000604
