epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,965.865,1.33365,1.61847,1.66821,0.6332,0.5646,0.57841,0.44123,1.5127,1.75651,1.81477,0.0007228,0.0007228,0.0007228
44,987.983,1.33494,1.62589,1.6544,0.59269,0.54883,0.5719,0.43942,1.49695,1.8189,1.80787,0.0007162,0.0007162,0.0007162
45,1010.4,1.34232,1.62388,1.66826,0.59408,0.55238,0.57834,0.44246,1.49223,1.76594,1.79682,0.0007096,0.0007096,0.0007096
46,1032.53,1.30754,1.5863,1.64246,0.62242,0.5431,0.57823,0.44044,1.48913,1.77374,1.8038,0.000703,0.000703,0.000703
47,1054.62,1.29908,1.57397,1.62841,0.61297,0.55422,0.5861,0.44952,1.49441,1.75549,1.80005,0.0006964,0.0006964,0.0006964
48,1076.73,1.31894,1.56369,1.63331,0.61352,0.5381,0.57897,0.45307,1.46384,1.73423,1.77112,0.0006898,0.0006898,0.0006898
49,1098.85,1.30449,1.56023,1.63226,0.66606,0.54822,0.58539,0.44768,1.48674,1.73627,1.79652,0.0006832,0.0006832,0.0006832
50,1121,1.28224,1.51257,1.60745,0.62746,0.55607,0.58935,0.45185,1.49026,1.70558,1.7951,0.0006766,0.0006766,0.0006766
51,1143.19,1.26741,1.48798,1.60505,0.64446,0.54862,0.5813,0.44995,1.48723,1.77906,1.79973,0.00067,0.00067,0.00067
52,1165.61,1.25776,1.47029,1.59017,0.59145,0.57369,0.58872,0.45509,1.48733,1.71982,1.7828,0.0006634,0.0006634,0.0006634
53,1188.13,1.26882,1.4716,1.59463,0.64106,0.5504,0.58789,0.45336,1.47419,1.70772,1.77418,0.0006568,0.0006568,0.0006568
54,1210.48,1.24183,1.41957,1.56719,0.65686,0.55465,0.59772,0.45869,1.47793,1.69135,1.7665,0.0006502,0.0006502,0.0006502
55,1232.89,1.23475,1.44433,1.57494,0.60066,0.58879,0.5967,0.45497,1.47925,1.71079,1.78226,0.0006436,0.0006436,0.0006436
56,1254.82,1.2187,1.38984,1.55701,0.62112,0.57797,0.60316,0.47094,1.45819,1.66011,1.75084,0.000637,0.000637,0.000637
57,1276.84,1.23509,1.41308,1.5665,0.69129,0.56826,0.60155,0.46361,1.47814,1.67325,1.77302,0.0006304,0.0006304,0.0006304
58,1299.26,1.19741,1.34745,1.5317,0.64327,0.56796,0.59466,0.4588,1.49673,1.68085,1.80303,0.0006238,0.0006238,0.0006238
59,1321.45,1.19135,1.34578,1.52798,0.64059,0.58465,0.6001,0.46417,1.48001,1.65662,1.77165,0.0006172,0.0006172,0.0006172
60,1343.49,1.18677,1.3263,1.52076,0.62366,0.58515,0.5971,0.46128,1.48199,1.67538,1.79493,0.0006106,0.0006106,0.0006106
61,1365.53,1.17686,1.31222,1.51406,0.63524,0.58582,0.59695,0.46276,1.50297,1.6863,1.80286,0.000604,0.000604,0.000604
62,1387.44,1.18678,1.32166,1.51746,0.62258,0.59137,0.60649,0.47211,1.47603,1.6368,1.78686,0.0005974,0.0005974,0.0005974
63,1409.51,1.16263,1.28391,1.50362,0.61551,0.59564,0.60244,0.46602,1.49214,1.64925,1.79265,0.0005908,0.0005908,0.0005908
64,1431.85,1.13929,1.24434,1.48025,0.59663,0.60421,0.60515,0.46635,1.49333,1.68103,1.79342,0.0005842,0.0005842,0.0005842
65,1453.61,1.15092,1.25858,1.49532,0.62459,0.57374,0.60325,0.46613,1.49387,1.65819,1.79831,0.0005776,0.0005776,0.0005776
66,1475.9,1.13509,1.25583,1.47474,0.6458,0.58593,0.60841,0.47227,1.47069,1.62258,1.77213,0.000571,0.000571,0.000571
67,1497.96,1.14066,1.24189,1.48086,0.64813,0.59084,0.61197,0.47517,1.48612,1.60935,1.7772,0.0005644,0.0005644,0.0005644
68,1520.36,1.11754,1.21189,1.4635,0.61728,0.60462,0.61018,0.46839,1.48978,1.61279,1.81094,0.0005578,0.0005578,0.0005578
69,1542.64,1.1171,1.19044,1.4632,0.62295,0.60113,0.61197,0.47801,1.48484,1.63891,1.79915,0.0005512,0.0005512,0.0005512
70,1564.97,1.10763,1.17114,1.44141,0.64321,0.59067,0.60136,0.46863,1.50353,1.6571,1.82594,0.0005446,0.0005446,0.0005446
71,1586.88,1.1081,1.17127,1.44587,0.70026,0.56799,0.60018,0.46762,1.49092,1.6549,1.82219,0.000538,0.000538,0.000538
72,1609.08,1.09518,1.1546,1.44017,0.68372,0.56901,0.61263,0.47673,1.50355,1.63322,1.82227,0.0005314,0.0005314,0.0005314
73,1631.14,1.0872,1.13755,1.42841,0.61744,0.59437,0.61075,0.47883,1.50082,1.61271,1.80792,0.0005248,0.0005248,0.0005248
74,1653.25,1.06814,1.10192,1.41575,0.61343,0.60378,0.60805,0.47555,1.49674,1.64914,1.81332,0.0005182,0.0005182,0.0005182
75,1675.58,1.07146,1.11419,1.41302,0.6357,0.60153,0.6171,0.4831,1.49964,1.62595,1.81391,0.0005116,0.0005116,0.0005116
76,1697.59,1.08725,1.12006,1.4274,0.69381,0.56811,0.61667,0.48473,1.48544,1.61281,1.79248,0.000505,0.000505,0.000505
77,1720.04,1.04178,1.07416,1.38776,0.61331,0.60928,0.61,0.47804,1.49373,1.63473,1.80455,0.0004984,0.0004984,0.0004984
78,1742.02,1.04663,1.07793,1.39492,0.64718,0.59939,0.61258,0.48198,1.49186,1.61509,1.81942,0.0004918,0.0004918,0.0004918
79,1764.22,1.04794,1.07846,1.39694,0.63953,0.59201,0.60654,0.46919,1.50651,1.6525,1.82117,0.0004852,0.0004852,0.0004852
80,1786.51,1.05407,1.0679,1.39461,0.67732,0.58113,0.61854,0.48128,1.50238,1.63942,1.80647,0.0004786,0.0004786,0.0004786
81,1808.48,1.05316,1.07794,1.39688,0.65913,0.58969,0.62029,0.48587,1.49269,1.61353,1.80714,0.000472,0.000472,0.000472
82,1830.67,1.03207,1.03213,1.37781,0.65754,0.57845,0.61024,0.47926,1.48634,1.61805,1.80491,0.0004654,0.0004654,0.0004654
